Record,Section,Field,Value
1,General,Topic,Diarrhoeal Disease
1,Overview,Definition,"Diarrhoea is defined as the passage of three or more loose or liquid stools per day, or more frequent passage than is normal for the individual."
1,Overview > Global Impact,Child Deaths Per Year,443832
1,Overview > Global Impact,Rank Under 5,Third leading cause of death
1,Overview > Global Impact,Most Affected Groups 1,Children under 5 years
1,Overview > Global Impact,Most Affected Groups 2,Malnourished children
1,Overview > Global Impact,Most Affected Groups 3,Children with impaired immunity
1,Overview > Global Impact,Most Affected Groups 4,People living with HIV
1,Clinical Types 1,Type,Acute watery diarrhoea
1,Clinical Types 1,Duration,Several hours to days
1,Clinical Types 1,Example,Cholera
1,Clinical Types 2,Type,Acute bloody diarrhoea
1,Clinical Types 2,Other Name,Dysentery
1,Clinical Types 3,Type,Persistent diarrhoea
1,Clinical Types 3,Duration,14 days or longer
1,Causes > Infectious Agents,Viral 1,Rotavirus
1,Causes > Infectious Agents,Viral 2,Norovirus
1,Causes > Infectious Agents,Viral 3,Adenovirus
1,Causes > Infectious Agents,Viral 4,Astrovirus
1,Causes > Infectious Agents,Viral 5,Sapovirus
1,Causes > Infectious Agents,Bacterial 1,Escherichia coli
1,Causes > Infectious Agents,Bacterial 2,Salmonella spp.
1,Causes > Infectious Agents,Bacterial 3,Shigella spp.
1,Causes > Infectious Agents,Bacterial 4,Campylobacter spp.
1,Causes > Infectious Agents,Parasitic 1,Cryptosporidium
1,Causes > Infectious Agents,Parasitic 2,Giardia
1,Causes > Infectious Agents,Parasitic 3,Entamoeba spp.
1,Causes,Risk Factors 1,Poor sanitation
1,Causes,Risk Factors 2,Unsafe drinking water
1,Causes,Risk Factors 3,Poor personal hygiene
1,Causes,Risk Factors 4,Improper food preparation
1,Causes,Risk Factors 5,Unsafe water storage
1,Causes,Risk Factors 6,Consumption of seafood from polluted water
1,Causes > Malnutrition Link,Description,"Malnutrition increases vulnerability to diarrhoea, and diarrhoea worsens malnutrition, creating a vicious cycle."
1,Causes > Malnutrition Link,Impact,Major cause of malnutrition in children under 5
1,General,Transmission 1,Faeces-contaminated water
1,General,Transmission 2,Contaminated food
1,General,Transmission 3,Person-to-person contact
1,General,Transmission 4,Poor hygiene practices
1,General,Transmission 5,Animal faeces
1,Dehydration,Description,"Loss of water and electrolytes such as sodium, chloride, potassium, and bicarbonate during diarrhoeal episodes."
