Record,Section,Field,Value
1,Source,Organization,World Health Organization
1,Source,Document,International Travel and Health – Chapter 7: Malaria
1,Source,Year,2016
1,Source,Credibility,authoritative
1,General,Domain,health
1,General,Topic,malaria
1,General,Audience 1,travellers
1,General,Audience 2,healthcare advisors
1,General,Audience 3,students
1,General,Audience 4,general public
1,Overview,Definition,"Malaria is a life-threatening parasitic disease transmitted by female Anopheles mosquitoes, mainly in tropical and subtropical regions."
1,Overview > Global Risk,Countries At Risk,91
1,Overview > Global Risk,Annual Travellers Exposed,125+ million
1,Overview > Global Risk,High Risk Group,Non-immune travellers
1,Causative Agent,Type,protozoan parasite
1,Causative Agent,Genus,Plasmodium
1,Causative Agent > Species 1,Name,Plasmodium falciparum
1,Causative Agent > Species 1,Severity,most dangerous
1,Causative Agent > Species 1,Notes,Highest mortality and complications
1,Causative Agent > Species 2,Name,Plasmodium vivax
1,Causative Agent > Species 2,Severity,moderate
1,Causative Agent > Species 2,Notes,Causes relapses due to liver dormancy
1,Causative Agent > Species 3,Name,Plasmodium ovale
1,Causative Agent > Species 3,Severity,moderate
1,Causative Agent > Species 3,Notes,Can relapse
1,Causative Agent > Species 4,Name,Plasmodium malariae
1,Causative Agent > Species 4,Severity,low
1,Causative Agent > Species 4,Notes,Chronic infections possible
1,Causative Agent > Species 5,Name,Plasmodium knowlesi
1,Causative Agent > Species 5,Severity,potentially severe
1,Causative Agent > Species 5,Notes,"Zoonotic, found in Southeast Asia forests"
1,Transmission,Vector,Female Anopheles mosquito
1,Transmission,Biting Time,dusk to dawn
1,Transmission,Human To Human,False
1,Transmission,Other Modes 1,blood transfusion (rare)
1,Transmission,Other Modes 2,congenital (rare)
1,Incubation Period,Minimum Days,7
1,Incubation Period,Maximum Months,3
1,Incubation Period,Note,Symptoms may appear later for vivax and ovale species
1,Symptoms,Common 1,fever
1,Symptoms,Common 2,chills
1,Symptoms,Common 3,headache
1,Symptoms,Common 4,muscle pain
1,Symptoms,Common 5,weakness
1,Symptoms,Common 6,vomiting
1,Symptoms,Common 7,diarrhoea
1,Symptoms,Severe 1,coma
1,Symptoms,Severe 2,seizures
1,Symptoms,Severe 3,acute renal failure
1,Symptoms,Severe 4,pulmonary oedema
1,Symptoms,Severe 5,circulatory collapse
1,Symptoms,Severe 6,death
1,Symptoms,Emergency Rule,Fever within 3 months of travel to a malaria-risk area is a medical emergency
1,General,High Risk Groups 1,non-immune travellers
1,General,High Risk Groups 2,pregnant women
1,General,High Risk Groups 3,young children
1,General,High Risk Groups 4,elderly travellers
1,General,High Risk Groups 5,immunosuppressed individuals
1,General,High Risk Groups 6,visiting friends and relatives (VFR travellers)
1,Geographical Distribution,Regions 1,Sub-Saharan Africa
1,Geographical Distribution,Regions 2,South Asia
1,Geographical Distribution,Regions 3,Southeast Asia
1,Geographical Distribution,Regions 4,Latin America
1,Geographical Distribution,Regions 5,Caribbean (limited)
1,Geographical Distribution,Altitude Limit Meters,1500
1,Geographical Distribution,Seasonality,highest after rainy season
1,Geographical Distribution,Urban Risk,low except in Africa and parts of India
1,Prevention Strategy,Principle,ABCDE
1,Prevention Strategy > Details,A,Aware of risk and symptoms
1,Prevention Strategy > Details,B,Avoid mosquito bites
1,Prevention Strategy > Details,C,Chemoprophylaxis when appropriate
1,Prevention Strategy > Details,D,Diagnosis and treatment immediately if fever occurs
1,Prevention Strategy > Details,E,Avoid mosquito breeding environments
1,Mosquito Bite Prevention,Repellents 1,DEET
1,Mosquito Bite Prevention,Repellents 2,Icaridin
1,Mosquito Bite Prevention,Repellents 3,IR3535
1,Mosquito Bite Prevention,Physical Measures 1,insecticide-treated mosquito nets
1,Mosquito Bite Prevention,Physical Measures 2,protective clothing
1,Mosquito Bite Prevention,Physical Measures 3,window and door screens
1,Mosquito Bite Prevention,Physical Measures 4,air-conditioning
1,Mosquito Bite Prevention,Chemical Measures 1,aerosol insecticides
1,Mosquito Bite Prevention,Chemical Measures 2,mosquito coils
1,Mosquito Bite Prevention,Chemical Measures 3,electric vaporizers
1,Chemoprophylaxis,General Rules 1,No drug gives 100% protection
1,Chemoprophylaxis,General Rules 2,Adherence is critical
1,Chemoprophylaxis,General Rules 3,Continue drugs after leaving risk area
1,Chemoprophylaxis,Common Drugs 1,atovaquone–proguanil
1,Chemoprophylaxis,Common Drugs 2,doxycycline
1,Chemoprophylaxis,Common Drugs 3,mefloquine
1,Chemoprophylaxis,Common Drugs 4,chloroquine (limited use)
1,Chemoprophylaxis > Post Travel Duration,Standard,4 weeks
1,Chemoprophylaxis > Post Travel Duration,Exception,atovaquone–proguanil: 7 days
1,Treatment,Diagnosis 1,microscopy
1,Treatment,Diagnosis 2,rapid diagnostic test
1,Treatment,Uncomplicated Falciparum 1,artemether–lumefantrine
1,Treatment,Uncomplicated Falciparum 2,dihydroartemisinin–piperaquine
1,Treatment,Uncomplicated Falciparum 3,atovaquone–proguanil
1,Treatment > Severe Malaria,First Line,intravenous artesunate
1,Treatment > Severe Malaria,Setting,intensive care unit
1,Standby Emergency Treatment,Indication,Remote areas without quick medical access
1,Standby Emergency Treatment,Rules 1,Do not use same drug as prophylaxis
1,Standby Emergency Treatment,Rules 2,Seek medical care after SBET
1,Standby Emergency Treatment,Rules 3,Complete full course
1,Standby Emergency Treatment,Recommended Drugs 1,artemether–lumefantrine
1,Standby Emergency Treatment,Recommended Drugs 2,atovaquone–proguanil
1,Drug Resistance,Chloroquine Resistance,widespread
1,Drug Resistance,Mefloquine Resistance 1,Cambodia
1,Drug Resistance,Mefloquine Resistance 2,southeastern Myanmar
1,Drug Resistance,Mefloquine Resistance 3,Thailand
1,Drug Resistance,Artemisinin Resistance 1,Cambodia
1,Drug Resistance,Artemisinin Resistance 2,Myanmar
1,Drug Resistance,Artemisinin Resistance 3,Thailand
1,Drug Resistance,Artemisinin Resistance 4,Viet Nam
1,Drug Resistance,Artemisinin Resistance 5,Lao PDR
1,Special Populations > Pregnancy,Risk,high maternal and fetal mortality
1,Special Populations > Pregnancy,Recommended Prophylaxis,mefloquine (where indicated)
1,Special Populations > Pregnancy,Contraindicated 1,doxycycline
1,Special Populations > Pregnancy,Contraindicated 2,primaquine
1,Special Populations > Children,Note,Falciparum malaria is a medical emergency
1,Special Populations > Children,Prophylaxis,weight-based dosing
1,Special Populations > Children,Contraindicated,doxycycline under 8 years
1,Special Populations > Immunosuppressed,Risk,higher severity
1,Special Populations > Immunosuppressed,Advice,strict prevention and early treatment
1,Countries With Malaria,Count,100+
1,Countries With Malaria,Examples 1,India
1,Countries With Malaria,Examples 2,Nigeria
1,Countries With Malaria,Examples 3,Brazil
1,Countries With Malaria,Examples 4,Indonesia
1,Countries With Malaria,Examples 5,Thailand
1,Countries With Malaria,Examples 6,Kenya
1,Countries With Malaria,Examples 7,Papua New Guinea
1,General,Chatbot Intents 1,What is malaria?
1,General,Chatbot Intents 2,How is malaria transmitted?
1,General,Chatbot Intents 3,What are malaria symptoms?
1,General,Chatbot Intents 4,Is malaria dangerous?
1,General,Chatbot Intents 5,How to prevent malaria while travelling?
1,General,Chatbot Intents 6,Which malaria medicines should I take?
1,General,Chatbot Intents 7,What to do if fever occurs after travel?
1,General,Chatbot Intents 8,Is malaria risky during pregnancy?
1,General,Chatbot Intents 9,Is malaria common in my destination?
2,Source,Title,Malaria
2,Source,Author,Kemi Keshinro
2,Source,Qualification,PGY4 Internal Medicine/Pediatrics
2,Source,Source Type,medical lecture slides
2,Source,Credibility,high
2,General,Domain,medicine
2,General,Subdomain,infectious_diseases
2,General,Disease,malaria
2,Key Facts,Definition,Malaria is a life-threatening parasitic disease transmitted to humans through the bite of infected female Anopheles mosquitoes.
2,Key Facts,Global Population At Risk,3.2–3.4 billion
2,Key Facts,Most Affected Region,Sub-Saharan Africa
2,Key Facts > Global Burden 2015,Cases,214 million
2,Key Facts > Global Burden 2015,Deaths,"438,000"
2,Key Facts > Global Burden 2015,Africa Share Cases,89%
2,Key Facts > Global Burden 2015,Africa Share Deaths,91%
2,Etiology,Causative Agent,Plasmodium (protozoan parasite)
2,Etiology,Species 1,Plasmodium falciparum
2,Etiology,Species 2,Plasmodium vivax
2,Etiology,Species 3,Plasmodium ovale
2,Etiology,Species 4,Plasmodium malariae
2,Etiology,Species 5,Plasmodium knowlesi
2,Etiology,Zoonotic Species 1,Plasmodium knowlesi
2,Transmission,Primary,Bite of infected female Anopheles mosquito
2,Transmission,Secondary 1,blood transfusion
2,Transmission,Secondary 2,organ transplantation
2,Transmission,Secondary 3,shared contaminated needles
2,Transmission,Secondary 4,congenital (mother to fetus)
2,Transmission > Mosquito Behavior,Active Time,dusk to dawn
2,Transmission > Mosquito Behavior,Important Vectors 1,Anopheles gambiae
2,Transmission > Mosquito Behavior,Important Vectors 2,Anopheles funestus
2,Transmission > Mosquito Behavior,Vector Species Count,>400 (≈30 major vectors)
2,Epidemiology,Countries At Risk,106
2,Epidemiology,High Transmission Zones 1,Sub-Saharan Africa
2,Epidemiology,High Transmission Zones 2,Papua New Guinea
2,Epidemiology,High Transmission Zones 3,Parts of South and Southeast Asia
2,Epidemiology,Low Or No Transmission Areas 1,high altitudes
2,Epidemiology,Low Or No Transmission Areas 2,cold seasons
