Record,Section,Field,Value
1,Disease,Name,Tuberculosis
1,Disease,Abbreviation,TB
1,Disease,Causative Agent,Mycobacterium tuberculosis
1,Disease,Disease Type,Chronic infectious bacterial disease
1,Disease,Primary Affected Organs 1,Lungs
1,Disease,Other Affected Organs 1,Lymph nodes
1,Disease,Other Affected Organs 2,Bones
1,Disease,Other Affected Organs 3,Joints
1,Disease,Other Affected Organs 4,Brain
1,Disease,Other Affected Organs 5,Kidneys
1,Disease,Other Affected Organs 6,Spine
1,Disease,Human Reservoir,True
1,Key Facts,Global Significance,One of the top infectious killers worldwide
1,Key Facts,Preventable,True
1,Key Facts,Curable,True
1,Key Facts,Airborne Transmission,True
1,Key Facts,Drug Resistance,Major global health concern
1,Overview,Description,"Tuberculosis is a contagious disease caused by Mycobacterium tuberculosis, most commonly affecting the lungs (pulmonary TB) but can affect other organs (extrapulmonary TB)."
1,Overview,Infection Process 1,Inhalation of airborne TB bacteria
1,Overview,Infection Process 2,Bacteria reach lungs
1,Overview,Infection Process 3,Immune system response
1,Overview,Infection Process 4,Latent or active infection develops
1,Transmission,Mode,Airborne
1,Transmission,Spread Mechanism 1,Coughing
1,Transmission,Spread Mechanism 2,Sneezing
1,Transmission,Spread Mechanism 3,Speaking
1,Transmission,Spread Mechanism 4,Singing
1,Transmission,Not Spread By 1,Handshakes
1,Transmission,Not Spread By 2,Sharing food
1,Transmission,Not Spread By 3,Touching surfaces
1,Transmission,Not Spread By 4,Sexual contact
1,Transmission,Infectious Period,When active pulmonary TB is untreated
1,Types Of Tb > Latent Tb Infection,Description,TB bacteria present but inactive
1,Types Of Tb > Latent Tb Infection,Symptoms,None
1,Types Of Tb > Latent Tb Infection,Infectious,False
1,Types Of Tb > Latent Tb Infection,Risk,Can progress to active TB
1,Types Of Tb > Active Tb Disease,Description,TB bacteria actively multiplying
1,Types Of Tb > Active Tb Disease,Symptoms,Present
1,Types Of Tb > Active Tb Disease,Infectious,True
1,Types Of Tb > Pulmonary Tb,Affected Area,Lungs
1,Types Of Tb > Pulmonary Tb,Most Common,True
1,Types Of Tb > Extrapulmonary Tb,Affected Areas 1,Lymph nodes
1,Types Of Tb > Extrapulmonary Tb,Affected Areas 2,Pleura
1,Types Of Tb > Extrapulmonary Tb,Affected Areas 3,Bones
1,Types Of Tb > Extrapulmonary Tb,Affected Areas 4,Joints
1,Types Of Tb > Extrapulmonary Tb,Affected Areas 5,Brain
1,Types Of Tb > Extrapulmonary Tb,Affected Areas 6,Kidneys
1,Symptoms,General Symptoms 1,Persistent cough (more than 2–3 weeks)
1,Symptoms,General Symptoms 2,Fever
1,Symptoms,General Symptoms 3,Night sweats
1,Symptoms,General Symptoms 4,Weight loss
1,Symptoms,General Symptoms 5,Fatigue
1,Symptoms,General Symptoms 6,Loss of appetite
1,Symptoms,Pulmonary Symptoms 1,Chest pain
1,Symptoms,Pulmonary Symptoms 2,Coughing up blood (hemoptysis)
1,Symptoms,Pulmonary Symptoms 3,Shortness of breath
1,Symptoms,Extrapulmonary Symptoms 1,Swollen lymph nodes
1,Symptoms,Extrapulmonary Symptoms 2,Bone or joint pain
1,Symptoms,Extrapulmonary Symptoms 3,Headache
1,Symptoms,Extrapulmonary Symptoms 4,Confusion (TB meningitis)
1,Symptoms,Extrapulmonary Symptoms 5,Back pain (spinal TB)
1,Risk Factors,Medical 1,HIV infection
