Record,Section,Field,Value
1,Disease,Name,Dengue Fever
1,Disease,Category,Vector-borne viral disease
1,Disease > Causative Agent,Virus,Dengue virus
1,Disease > Causative Agent,Family,Flaviviridae
1,Disease > Causative Agent,Serotypes 1,DEN-1
1,Disease > Causative Agent,Serotypes 2,DEN-2
1,Disease > Causative Agent,Serotypes 3,DEN-3
1,Disease > Causative Agent,Serotypes 4,DEN-4
1,Disease > Causative Agent > Genotypes,Den-1,3
1,Disease > Causative Agent > Genotypes,Den-2,2
1,Disease > Causative Agent > Genotypes,Den-3,4
1,Disease > Causative Agent > Genotypes,Den-4,4
1,Disease > Transmission,Mode,Mosquito-borne
1,Disease > Transmission,Vector,Aedes aegypti
1,Disease > Transmission,Risk Environment 1,Urban areas
1,Disease > Transmission,Risk Environment 2,Stagnant water
1,Disease > Transmission,Risk Environment 3,Monsoon season
1,Clinical Course > Phases 1,Name,Febrile Phase
1,Clinical Course > Phases 1,Duration Days,2–7
1,Clinical Course > Phases 1,Features 1,High-grade fever
1,Clinical Course > Phases 1,Features 2,Headache
1,Clinical Course > Phases 1,Features 3,Retro-orbital pain
1,Clinical Course > Phases 1,Features 4,Myalgia
1,Clinical Course > Phases 1,Features 5,Arthralgia
1,Clinical Course > Phases 1,Features 6,Rash
1,Clinical Course > Phases 1,Features 7,Mild bleeding
1,Clinical Course > Phases 2,Name,Critical Phase
1,Clinical Course > Phases 2,Features 1,Plasma leakage
1,Clinical Course > Phases 2,Features 2,Rising hematocrit
1,Clinical Course > Phases 2,Features 3,Thrombocytopenia
1,Clinical Course > Phases 2,Features 4,Shock risk
1,Clinical Course > Phases 3,Name,Convalescent Phase
1,Clinical Course > Phases 3,Features 1,Reabsorption of plasma
1,Clinical Course > Phases 3,Features 2,Improving platelet count
1,Clinical Course > Phases 3,Features 3,Clinical recovery
1,Case Definitions > Probable Case,Criteria 1,Clinical features of dengue fever
1,Case Definitions > Probable Case,Criteria 2,Positive Rapid Diagnostic Test (RDT)
1,Case Definitions > Probable Case,Note,RDT has poor sensitivity and specificity
1,Case Definitions > Confirmed Case,Criteria 1,Virus isolation
1,Case Definitions > Confirmed Case,Criteria 2,NS1 antigen positive by ELISA
1,Case Definitions > Confirmed Case,Criteria 3,IgM ELISA positive
1,Case Definitions > Confirmed Case,Criteria 4,IgG seroconversion (4-fold rise)
1,Case Definitions > Confirmed Case,Criteria 5,PCR positive
1,Classification,Asymptomatic,True
1,Classification > Symptomatic > Mild Dengue,Features 1,Fever without complications
1,Classification > Symptomatic > Mild Dengue,Management,Home care
1,Classification > Symptomatic > Moderate Dengue,Features 1,Warning signs present
1,Classification > Symptomatic > Moderate Dengue,Features 2,Minor bleeding
1,Classification > Symptomatic > Moderate Dengue,Features 3,Hematocrit rise
1,Classification > Symptomatic > Moderate Dengue,Management,Close monitoring / Hospitalization
1,Classification > Symptomatic > Severe Dengue,Features 1,Severe bleeding
1,Classification > Symptomatic > Severe Dengue,Features 2,Shock (DSS)
1,Classification > Symptomatic > Severe Dengue,Features 3,Organ failure
1,Classification > Symptomatic > Severe Dengue,Management,Tertiary care
1,General,Warning Signs 1,Persistent vomiting
1,General,Warning Signs 2,Severe abdominal pain
1,General,Warning Signs 3,Bleeding from any site
1,General,Warning Signs 4,Decreased urine output
1,General,Warning Signs 5,Respiratory distress
1,General,Warning Signs 6,Restlessness or lethargy
1,General,Warning Signs 7,Shock or impending shock
1,General,Warning Signs 8,Rapidly falling platelet count
1,Expanded Dengue Syndrome,Cns 1,Encephalopathy
1,Expanded Dengue Syndrome,Cns 2,Encephalitis
1,Expanded Dengue Syndrome,Cns 3,Seizures
1,Expanded Dengue Syndrome,Cns 4,Intracranial bleeding
1,Expanded Dengue Syndrome,Gastrointestinal 1,Acute hepatitis
1,Expanded Dengue Syndrome,Gastrointestinal 2,Fulminant liver failure
1,Expanded Dengue Syndrome,Gastrointestinal 3,Pancreatitis
1,Expanded Dengue Syndrome,Renal 1,Acute renal failure
1,Expanded Dengue Syndrome,Renal 2,Acute tubular necrosis
1,Expanded Dengue Syndrome,Cardiac 1,Myocarditis
1,Expanded Dengue Syndrome,Cardiac 2,Arrhythmia
1,Expanded Dengue Syndrome,Cardiac 3,Cardiomyopathy
1,Expanded Dengue Syndrome,Respiratory 1,ARDS
1,Expanded Dengue Syndrome,Respiratory 2,Pulmonary edema
1,Expanded Dengue Syndrome,Respiratory 3,Pleural effusion
1,Expanded Dengue Syndrome,Eye 1,Conjunctival bleed
1,Expanded Dengue Syndrome,Eye 2,Macular hemorrhage
1,Expanded Dengue Syndrome,Eye 3,Optic neuritis
1,Diagnosis,Day 1 To 5 1,NS1 ELISA
1,Diagnosis,After Day 5 1,IgM ELISA
1,Diagnosis,Rdt Policy,RDT positive = probable case only
1,Treatment,General 1,Adequate fluids
1,Treatment,General 2,Rest
1,Treatment,General 3,Paracetamol only
1,Treatment,General 4,Avoid NSAIDs and aspirin
1,Treatment,Monitoring 1,Blood pressure
1,Treatment,Monitoring 2,Hematocrit
1,Treatment,Monitoring 3,Platelet count
1,Treatment,Monitoring 4,Urine output
1,Treatment,Monitoring 5,Consciousness level
1,Treatment > Dengue Fever And Dhf 1 2,Management 1,Oral/IV fluids
1,Treatment > Dengue Fever And Dhf 1 2,Management 2,Observation
1,Treatment > Dhf 3 4,Management 1,Crystalloid fluids
1,Treatment > Dhf 3 4,Management 2,Blood transfusion if severe bleeding
1,Treatment > Dhf 3 4,Management 3,Platelet transfusion if <10000/mm3
1,Platelet Transfusion Guidelines,Indications 1,Platelet count <10000/mm3
1,Platelet Transfusion Guidelines,Indications 2,Any thrombocytopenia with bleeding
1,Platelet Transfusion Guidelines,Not Indicated 1,Prophylactic transfusion if platelets >10000/mm3
1,General,Admission Criteria 1,Any warning signs
1,General,Admission Criteria 2,Significant bleeding
1,General,Admission Criteria 3,Persistent fever >40°C
1,General,Admission Criteria 4,Shock or circulatory failure
1,General,Admission Criteria 5,Neurological symptoms
1,General,Discharge Criteria 1,Afebrile for 24 hours
1,General,Discharge Criteria 2,Platelet count >50000/mm3
1,General,Discharge Criteria 3,Stable vitals
1,General,Discharge Criteria 4,Good urine output
1,General,Discharge Criteria 5,Clinical improvement
1,Home Care Criteria,Allowed If 1,Stable vitals
1,Home Care Criteria,Allowed If 2,Platelet count >100000/mm3
1,Home Care Criteria,Allowed If 3,No bleeding
1,Home Care Criteria,Allowed If 4,No warning signs
1,Home Care Criteria,Return Immediately If 1,Bleeding
1,Home Care Criteria,Return Immediately If 2,Persistent vomiting
1,Home Care Criteria,Return Immediately If 3,Abdominal pain
1,Home Care Criteria,Return Immediately If 4,Reduced urine output
1,Home Care Criteria,Return Immediately If 5,Altered sensorium
1,Nursing Care,Focus Areas 1,Early detection of shock
1,Nursing Care,Focus Areas 2,Fluid balance
1,Nursing Care,Focus Areas 3,Monitoring bleeding
1,Nursing Care,Focus Areas 4,Monitoring urine output
1,Nursing Care,Focus Areas 5,Neurological status
1,Public Health Notes,High Risk Groups 1,Infants
1,Public Health Notes,High Risk Groups 2,Elderly
1,Public Health Notes,High Risk Groups 3,Pregnant women
1,Public Health Notes,High Risk Groups 4,Diabetes
1,Public Health Notes,High Risk Groups 5,Hypertension
1,Public Health Notes,High Risk Groups 6,CKD
1,Public Health Notes,High Risk Groups 7,CLD
1,Public Health Notes,High Risk Groups 8,Immunocompromised
1,Public Health Notes,Key Message,Fluid management and early detection of warning signs save lives
1,Emergency Contacts,Helpline,DISHA
1,Emergency Contacts,Numbers 1,0471-2552056
1,Emergency Contacts,Numbers 2,1056
1,Emergency Contacts,Availability,24x7
2,Metadata,Document,National Guidelines for Clinical Management of Dengue Fever
2,Metadata,Year,2023
2,Metadata,Authority,"NCVBDC, Ministry of Health & Family Welfare, Government of India"
2,Metadata,Geography,India
2,Metadata,Last Updated,2023
2,Disease,Name,Dengue Fever
2,Disease,Type,Acute viral illness
2,Disease,Family,Flaviviridae
2,Disease,Virus,Dengue virus (DENV)
2,Disease,Serotypes 1,DENV-1
2,Disease,Serotypes 2,DENV-2
2,Disease,Serotypes 3,DENV-3
2,Disease,Serotypes 4,DENV-4
2,Disease > Genotypes,Denv-1,3
2,Disease > Genotypes,Denv-2,6
2,Disease > Genotypes,Denv-3,4
