Record,Section,Field,Value
1,Meta,Disease Name,Typhoid Fever
1,Meta,Alternate Names 1,Enteric Fever
1,Meta,Causative Agent,Salmonella enterica serotype Typhi
1,Meta,Last Compiled,2026-01
1,Meta,Source Documents 1,Typhoid Investigative Guidelines (Aug 2025)
1,Meta,Source Documents 2,Communicable Disease Management Protocol – Typhoid Fever (Dec 2024 update)
1,Case Definitions > Confirmed Case,Criteria 1,Isolation of Salmonella Typhi from blood
1,Case Definitions > Confirmed Case,Criteria 2,Isolation from stool
1,Case Definitions > Confirmed Case,Criteria 3,Isolation from urine
1,Case Definitions > Confirmed Case,Criteria 4,Isolation from bone marrow
1,Case Definitions > Confirmed Case,Criteria 5,Isolation from other sterile sites
1,Case Definitions > Confirmed Case,Clinical Illness Required,False
1,Case Definitions > Probable Case,Criteria 1,Compatible clinical illness
1,Case Definitions > Probable Case,Criteria 2,Epidemiological link to confirmed case
1,Case Definitions > Suspect Case,Criteria 1,Compatible illness lasting at least 7 days
1,Case Definitions > Suspect Case,Criteria 2,No laboratory confirmation
1,Case Definitions > Suspect Case,Reportable,False
1,Clinical Presentation,Early Symptoms 1,Gradual onset fever
1,Clinical Presentation,Early Symptoms 2,Headache
1,Clinical Presentation,Early Symptoms 3,Malaise
1,Clinical Presentation,Early Symptoms 4,Anorexia
1,Clinical Presentation,Early Symptoms 5,Lethargy
1,Clinical Presentation,Early Symptoms 6,Dry cough
1,Clinical Presentation,Gastrointestinal Features 1,Constipation (more common)
1,Clinical Presentation,Gastrointestinal Features 2,Diarrhea (less common)
1,Clinical Presentation,Gastrointestinal Features 3,Abdominal pain
1,Clinical Presentation,Gastrointestinal Features 4,Abdominal tenderness
1,Clinical Presentation,Systemic Features 1,Relative bradycardia
1,Clinical Presentation,Systemic Features 2,Hepatomegaly
1,Clinical Presentation,Systemic Features 3,Splenomegaly
1,Clinical Presentation,Systemic Features 4,Mental dullness
1,Clinical Presentation,Systemic Features 5,Slight deafness
1,Clinical Presentation > Dermatologic Signs,Rash Name,Rose spots
1,Clinical Presentation > Dermatologic Signs,Appearance,Rose-colored maculopapular lesions
1,Clinical Presentation > Dermatologic Signs,Locations 1,Abdomen
1,Clinical Presentation > Dermatologic Signs,Locations 2,Back
1,Clinical Presentation > Dermatologic Signs,Locations 3,Arms
1,Clinical Presentation > Dermatologic Signs,Locations 4,Legs
1,Clinical Presentation > Dermatologic Signs,Duration Days,2–4
1,Clinical Presentation > Severity,Untreated Fatality Rate,10–20%
1,Clinical Presentation > Severity,Treated Fatality Rate,<1%
1,Clinical Presentation > Severity,Relapse Rate,Up to 10%
1,Clinical Presentation,Complications 1,Intestinal hemorrhage
1,Clinical Presentation,Complications 2,Intestinal perforation
1,Clinical Presentation,Complications 3,Sepsis
1,Clinical Presentation,Complications 4,Neurologic manifestations
1,Epidemiology,Reservoir,Humans only
1,Epidemiology > Carrier State,Chronic Carrier Rate,1–5%
1,Epidemiology > Carrier State,High Risk Groups 1,Women
1,Epidemiology > Carrier State,High Risk Groups 2,Age >50 years
1,Epidemiology > Carrier State,High Risk Groups 3,Gallbladder disease
1,Epidemiology > Carrier State,High Risk Groups 4,Schistosomiasis
1,Epidemiology > Carrier State,High Risk Groups 5,Gallbladder carcinoma
1,Epidemiology > Global Burden,Annual Cases Worldwide,≈22 million
1,Epidemiology > Global Burden,Annual Deaths Worldwide,"≈200,000"
1,Epidemiology > Global Burden,High Risk Regions 1,South Asia
1,Epidemiology > Global Burden,High Risk Regions 2,Southeast Asia
1,Epidemiology > Global Burden,High Risk Regions 3,Africa
1,Epidemiology > Global Burden,High Risk Regions 4,Caribbean
1,Epidemiology > Global Burden,High Risk Regions 5,Central and South America
1,Epidemiology > Travel Risk,Highest Risk Travel 1,India
1,Epidemiology > Travel Risk,Highest Risk Travel 2,Pakistan
1,Epidemiology > Travel Risk,Highest Risk Travel 3,Bangladesh
1,Epidemiology > Travel Risk,High Risk Travelers,Visiting friends and relatives (VFRs)
1,Transmission,Primary Route,Fecal–oral
1,Transmission,Common Vehicles 1,Contaminated drinking water
1,Transmission,Common Vehicles 2,Food handled by infected persons
1,Transmission,Common Vehicles 3,Raw vegetables fertilized with night soil
1,Transmission,Common Vehicles 4,Shellfish from sewage-contaminated waters
1,Transmission,Common Vehicles 5,Unpasteurized milk
1,Transmission,Additional Routes 1,"Sexual transmission (documented, especially MSM)"
1,Incubation And Communicability > Incubation Period,Average Days,8–14
1,Incubation And Communicability > Incubation Period,Range Days,3–60+
1,Incubation And Communicability > Communicability,Start,First week of illness
1,Incubation And Communicability > Communicability,End,Through convalescence
1,Incubation And Communicability > Communicability,Chronic,Permanent if carrier develops
1,Laboratory Diagnosis,Preferred Tests 1,Blood culture (early disease)
1,Laboratory Diagnosis,Preferred Tests 2,Stool culture (after first week)
1,Laboratory Diagnosis,Preferred Tests 3,Urine culture
1,Laboratory Diagnosis,Gold Standard,Bone marrow culture
1,Laboratory Diagnosis,Not Recommended 1,Widal test (low specificity)
1,Laboratory Diagnosis,Specimen Rules 1,Collect before antibiotics or 48h after stopping
1,Laboratory Diagnosis,Specimen Rules 2,Specimens collected ≥24h apart
1,Treatment,General Principles 1,Antibiotics required to prevent complications
1,Treatment,General Principles 2,Treatment guided by susceptibility testing
1,Treatment > First Line,Adults 1,Ciprofloxacin (if susceptible)
1,Treatment > First Line,Adults 2,Azithromycin
1,Treatment > First Line,Children 1,Ceftriaxone
1,Treatment,Alternative Agents 1,Cefixime
1,Treatment,Alternative Agents 2,Ceftriaxone (parenteral)
1,Treatment,Alternative Agents 3,Azithromycin (uncomplicated cases)
1,Treatment,Resistance Notes 1,Multidrug resistance common
1,Treatment,Resistance Notes 2,High fluoroquinolone resistance in Indian subcontinent
1,Treatment,Resistance Notes 3,Nalidixic acid resistance predicts fluoroquinolone failure
1,Treatment,Severe Cases 1,Ceftriaxone
1,Treatment,Severe Cases 2,Adjunct corticosteroids for critically ill patients
1,Carrier Management,Definition,Excretion of S. Typhi >1 year
1,Carrier Management > Treatment,Preferred 1,Ciprofloxacin 750 mg BID × 28 days
1,Carrier Management > Treatment,Preferred 2,Norfloxacin 400 mg BID × 28 days
1,Carrier Management > Treatment,Success Rate,80–90%
1,Carrier Management > Clearance Requirements,Stool Cultures,6
1,Carrier Management > Clearance Requirements,Urine Culture,1
1,Carrier Management > Clearance Requirements,Interval,≥72 hours apart
1,Public Health Reporting > Laboratory Reporting,Timeframe,Within 1 working day
1,Public Health Reporting > Laboratory Reporting,Requirements 1,Immediate notification
1,Public Health Reporting > Laboratory Reporting,Requirements 2,Submission of isolates for confirmation
1,Public Health Reporting,Public Health Followup 1,Case investigation
1,Public Health Reporting,Public Health Followup 2,Source identification
1,Public Health Reporting,Public Health Followup 3,Contact tracing
1,Public Health Reporting,Public Health Followup 4,Carrier assessment
1,Case Control Measures > Isolation,Standard Precautions,True
1,Case Control Measures > Isolation,Contact Precautions 1,Incontinent adults
1,Case Control Measures > Isolation,Contact Precautions 2,Diapered children
1,Case Control Measures > Exclusion Criteria > Food Handlers,Requirement,≥3–4 negative stool cultures
1,Case Control Measures > Exclusion Criteria > Food Handlers,Timing,≥48h post-antibiotics
1,Case Control Measures > Exclusion Criteria > Childcare,Under 5,3 negative stool cultures
1,Case Control Measures > Exclusion Criteria > Childcare,Over 5,Exclude until symptoms resolve
1,Contact Management,Contacts Defined As 1,Household members
1,Contact Management,Contacts Defined As 2,Sexual partners
1,Contact Management,Contacts Defined As 3,Travel companions
1,Contact Management > Symptomatic Contacts,Action 1,Clinical assessment
1,Contact Management > Symptomatic Contacts,Action 2,Stool culture
1,Contact Management > Symptomatic Contacts,Action 3,Exclude from high-risk work
1,Contact Management > Asymptomatic Contacts,High Risk Occupations,Screen but do not exclude unless positive
1,Outbreak Management,Definition,Cases exceeding expected baseline
1,Outbreak Management,Key Actions 1,Identify common source
1,Outbreak Management,Key Actions 2,Environmental investigation
1,Outbreak Management,Key Actions 3,Public notification
1,Outbreak Management,Key Actions 4,Enhanced surveillance
1,Outbreak Management,Vaccination Role,Not recommended for outbreak control
1,Prevention > Vaccination,Recommended For 1,Travelers to endemic areas
1,Prevention > Vaccination,Recommended For 2,Laboratory workers
1,Prevention > Vaccination,Recommended For 3,Household contacts of carriers
1,Prevention > Vaccination,Protection Duration Years,2–3
1,Prevention > Vaccination,Limitations,Not fully protective
1,Prevention,Food And Water Safety 1,Drink boiled or bottled water
1,Prevention,Food And Water Safety 2,Avoid ice
1,Prevention,Food And Water Safety 3,Avoid raw foods
1,Prevention,Food And Water Safety 4,Consume pasteurized dairy only
1,Prevention,Food And Water Safety 5,Avoid street food
1,Prevention,Hygiene 1,Hand washing after defecation
1,Prevention,Hygiene 2,Hand washing before food preparation
